game_id,name,difficulty,mechanism,bank_size,board_size,generator_params,AI_policy,rating_metric,observed_distribution,overlap,meaningfully_distinct,finding,fix
1,NUMBER BASEBALL,EASY,4 digits; repeats and leading zero allowed; 16 guesses,0,N/A; see generator_params,"{""code_domain"":10000,""digits"":4,""guess_limit"":16,""samples_with_repeated_digit"":148}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""code_domain"":10000,""digits"":4,""guess_limit"":16,""samples_with_repeated_digit"":148},""modes"":1,""unique"":251,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""HARD"":0,""MASTER"":0,""NORMAL"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
1,NUMBER BASEBALL,NORMAL,5 digits; 12 guesses,0,N/A; see generator_params,"{""code_domain"":100000,""digits"":5,""guess_limit"":12,""samples_with_repeated_digit"":214}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""code_domain"":100000,""digits"":5,""guess_limit"":12,""samples_with_repeated_digit"":214},""modes"":1,""unique"":254,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""EASY"":0,""HARD"":0,""MASTER"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
1,NUMBER BASEBALL,HARD,6 digits; 10 guesses,0,N/A; see generator_params,"{""code_domain"":1000000,""digits"":6,""guess_limit"":10,""samples_with_repeated_digit"":238}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""code_domain"":1000000,""digits"":6,""guess_limit"":10,""samples_with_repeated_digit"":238},""modes"":1,""unique"":256,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""EASY"":0,""MASTER"":0,""NORMAL"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
1,NUMBER BASEBALL,MASTER,7 digits; 16 guesses,0,N/A; see generator_params,"{""code_domain"":10000000,""digits"":7,""guess_limit"":16,""samples_with_repeated_digit"":251}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":0,""metrics"":{""code_domain"":10000000,""digits"":7,""guess_limit"":16,""samples_with_repeated_digit"":251},""modes"":1,""unique"":256,""unique_bank"":null,""validated_initializations"":256}","{""counts"":{""EASY"":0,""HARD"":0,""NORMAL"":0},""scope"":""bounded runtime sample only, not full generator domain""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: longer secret but more permitted guesses than HARD.,No demonstrated selector no-op; generation and legacy banks preserved
2,EQUATION GUESS,EASY,one + or -; mode lengths 7/6/8; 12 guesses,90,N/A; see generator_params,"{""by_mode"":{""0"":{""count"":30,""division_puzzles"":0,""length"":{""max"":7,""median"":7.0,""min"":7},""multiplication_puzzles"":0,""operator_count"":{""max"":1,""median"":1.0,""min"":1}},""1"":{""count"":30,""division_puzzles"":0,""length"":{""max"":6,""median"":6.0,""min"":6},""multiplication_puzzles"":0,""operator_count"":{""max"":1,""median"":1.0,""min"":1}},""2"":{""count"":30,""division_puzzles"":0,""length"":{""max"":8,""median"":8.0,""min"":8},""multiplication_puzzles"":0,""operator_count"":{""max"":1,""median"":1.0,""min"":1}}},""guess_limit"":12}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""by_mode"":{""0"":{""count"":30,""division_puzzles"":0,""length"":{""max"":7,""median"":7.0,""min"":7},""multiplication_puzzles"":0,""operator_count"":{""max"":1,""median"":1.0,""min"":1}},""1"":{""count"":30,""division_puzzles"":0,""length"":{""max"":6,""median"":6.0,""min"":6},""multiplication_puzzles"":0,""operator_count"":{""max"":1,""median"":1.0,""min"":1}},""2"":{""count"":30,""division_puzzles"":0,""length"":{""max"":8,""median"":8.0,""min"":8},""multiplication_puzzles"":0,""operator_count"":{""max"":1,""median"":1.0,""min"":1}}},""guess_limit"":12},""modes"":3,""unique"":90,""unique_bank"":90,""validated_initializations"":90}","{""counts"":{""HARD"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
2,EQUATION GUESS,NORMAL,"one +, -, or *; mode lengths 7/6/8; 10 guesses",90,N/A; see generator_params,"{""by_mode"":{""0"":{""count"":30,""division_puzzles"":0,""length"":{""max"":7,""median"":7.0,""min"":7},""multiplication_puzzles"":5,""operator_count"":{""max"":1,""median"":1.0,""min"":1}},""1"":{""count"":30,""division_puzzles"":0,""length"":{""max"":6,""median"":6.0,""min"":6},""multiplication_puzzles"":16,""operator_count"":{""max"":1,""median"":1.0,""min"":1}},""2"":{""count"":30,""division_puzzles"":0,""length"":{""max"":8,""median"":8.0,""min"":8},""multiplication_puzzles"":3,""operator_count"":{""max"":1,""median"":1.0,""min"":1}}},""guess_limit"":10}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""by_mode"":{""0"":{""count"":30,""division_puzzles"":0,""length"":{""max"":7,""median"":7.0,""min"":7},""multiplication_puzzles"":5,""operator_count"":{""max"":1,""median"":1.0,""min"":1}},""1"":{""count"":30,""division_puzzles"":0,""length"":{""max"":6,""median"":6.0,""min"":6},""multiplication_puzzles"":16,""operator_count"":{""max"":1,""median"":1.0,""min"":1}},""2"":{""count"":30,""division_puzzles"":0,""length"":{""max"":8,""median"":8.0,""min"":8},""multiplication_puzzles"":3,""operator_count"":{""max"":1,""median"":1.0,""min"":1}}},""guess_limit"":10},""modes"":3,""unique"":90,""unique_bank"":90,""validated_initializations"":90}","{""counts"":{""EASY"":0,""HARD"":0,""MASTER"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
2,EQUATION GUESS,HARD,"STANDARD/LONG two operators, SHORT one; + - * /; 8 guesses",90,N/A; see generator_params,"{""by_mode"":{""0"":{""count"":30,""division_puzzles"":8,""length"":{""max"":7,""median"":7.0,""min"":7},""multiplication_puzzles"":11,""operator_count"":{""max"":2,""median"":2.0,""min"":2}},""1"":{""count"":30,""division_puzzles"":6,""length"":{""max"":6,""median"":6.0,""min"":6},""multiplication_puzzles"":10,""operator_count"":{""max"":1,""median"":1.0,""min"":1}},""2"":{""count"":30,""division_puzzles"":5,""length"":{""max"":8,""median"":8.0,""min"":8},""multiplication_puzzles"":21,""operator_count"":{""max"":2,""median"":2.0,""min"":2}}},""guess_limit"":8}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""by_mode"":{""0"":{""count"":30,""division_puzzles"":8,""length"":{""max"":7,""median"":7.0,""min"":7},""multiplication_puzzles"":11,""operator_count"":{""max"":2,""median"":2.0,""min"":2}},""1"":{""count"":30,""division_puzzles"":6,""length"":{""max"":6,""median"":6.0,""min"":6},""multiplication_puzzles"":10,""operator_count"":{""max"":1,""median"":1.0,""min"":1}},""2"":{""count"":30,""division_puzzles"":5,""length"":{""max"":8,""median"":8.0,""min"":8},""multiplication_puzzles"":21,""operator_count"":{""max"":2,""median"":2.0,""min"":2}}},""guess_limit"":8},""modes"":3,""unique"":90,""unique_bank"":90,""validated_initializations"":90}","{""counts"":{""EASY"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
2,EQUATION GUESS,MASTER,3/2/3 operators; mode lengths 9/8/10; mixed precedence must affect value; 12 guesses,90,N/A; see generator_params,"{""by_mode"":{""0"":{""count"":30,""division_puzzles"":17,""length"":{""max"":9,""median"":9.0,""min"":9},""multiplication_puzzles"":16,""operator_count"":{""max"":3,""median"":3.0,""min"":3}},""1"":{""count"":30,""division_puzzles"":3,""length"":{""max"":8,""median"":8.0,""min"":8},""multiplication_puzzles"":27,""operator_count"":{""max"":2,""median"":2.0,""min"":2}},""2"":{""count"":30,""division_puzzles"":10,""length"":{""max"":10,""median"":10.0,""min"":10},""multiplication_puzzles"":23,""operator_count"":{""max"":3,""median"":3.0,""min"":3}}},""guess_limit"":12}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""by_mode"":{""0"":{""count"":30,""division_puzzles"":17,""length"":{""max"":9,""median"":9.0,""min"":9},""multiplication_puzzles"":16,""operator_count"":{""max"":3,""median"":3.0,""min"":3}},""1"":{""count"":30,""division_puzzles"":3,""length"":{""max"":8,""median"":8.0,""min"":8},""multiplication_puzzles"":27,""operator_count"":{""max"":2,""median"":2.0,""min"":2}},""2"":{""count"":30,""division_puzzles"":10,""length"":{""max"":10,""median"":10.0,""min"":10},""multiplication_puzzles"":23,""operator_count"":{""max"":3,""median"":3.0,""min"":3}}},""guess_limit"":12},""modes"":3,""unique"":90,""unique_bank"":90,""validated_initializations"":90}","{""counts"":{""EASY"":0,""HARD"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only. REVIEW REQUIRED: longer secret but more permitted guesses than HARD.,No demonstrated selector no-op; generation and legacy banks preserved
3,NUMBER MIND,EASY,4 positions × 6 symbols,30,N/A; see generator_params,"{""clue_count"":{""max"":11,""median"":8.0,""min"":5},""domain"":1296,""zero_match_clues"":{""max"":7,""median"":4.0,""min"":1}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""clue_count"":{""max"":11,""median"":8.0,""min"":5},""domain"":1296,""zero_match_clues"":{""max"":7,""median"":4.0,""min"":1}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""HARD"":0,""MASTER"":0,""NORMAL"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
3,NUMBER MIND,NORMAL,4 positions × 8 symbols,30,N/A; see generator_params,"{""clue_count"":{""max"":13,""median"":10.0,""min"":6},""domain"":4096,""zero_match_clues"":{""max"":9,""median"":5.0,""min"":2}}",N/A; no AI opponent,Structural metric; human rating NOT MEASURED,"{""bank_per_mode"":30,""metrics"":{""clue_count"":{""max"":13,""median"":10.0,""min"":6},""domain"":4096,""zero_match_clues"":{""max"":9,""median"":5.0,""min"":2}},""modes"":1,""unique"":30,""unique_bank"":30,""validated_initializations"":30}","{""counts"":{""EASY"":0,""HARD"":0,""MASTER"":0},""scope"":""complete current bank""}",STRUCTURAL YES; human rating uncalibrated,Human difficulty uncalibrated; measured structural parameters only.,No demonstrated selector no-op; generation and legacy banks preserved
