game_id,name,difficulty,mechanism,bank_size,board_size,generator_params,AI_policy,rating_metric,observed_distribution,overlap,meaningfully_distinct,finding,fix
21,NIM,EASY,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 1x3; mode 1: 1x3,3 piles 1..7,random legal move,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,6/106 optimal on common decision opportunities; 128 total positions,Random branch may choose an optimal move; 75% branch rate is not 75% success rate,YES,PASS,None
21,NIM,NORMAL,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 1x3; mode 1: 1x3,3 piles 1..15,75% exact-policy branch; 25% random,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,79/106 optimal on common decision opportunities; 128 total positions,Random branch may choose an optimal move; 75% branch rate is not 75% success rate,YES,PASS,None
21,NIM,HARD,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 1x4; mode 1: 1x4,4 piles 1..31,exact outcome-optimal policy,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,106/106 optimal on common decision opportunities; 128 total positions,HARD/MASTER CPU deliberately identical: 128/128 board and RNG decisions match; starts differ,YES,PASS,None
21,NIM,MASTER,Verified forced-win tactical starts; CPU identical to HARD,mode 0: 30; mode 1: 30,mode 0: 1x4; mode 1: 1x4,Full enumerated mode-specific bank; human can force a win,same exact policy as HARD,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,106/106 optimal on common decision opportunities; 128 total positions,HARD/MASTER CPU deliberately identical: 128/128 board and RNG decisions match; starts differ,YES,PASS,None
22,WYTHOFF,EASY,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 1x3; mode 1: 1x3,piles 1..10,random legal move,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,9/111 optimal on common decision opportunities; 128 total positions,Random branch may choose an optimal move; 75% branch rate is not 75% success rate,YES,PASS,None
22,WYTHOFF,NORMAL,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 1x3; mode 1: 1x3,piles 1..24,75% exact-policy branch; 25% random,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,87/111 optimal on common decision opportunities; 128 total positions,Random branch may choose an optimal move; 75% branch rate is not 75% success rate,YES,PASS,None
22,WYTHOFF,HARD,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 1x3; mode 1: 1x3,piles 1..40,exact outcome-optimal policy,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,111/111 optimal on common decision opportunities; 128 total positions,HARD/MASTER CPU deliberately identical: 128/128 board and RNG decisions match; starts differ,YES,PASS,None
22,WYTHOFF,MASTER,Verified forced-win tactical starts; CPU identical to HARD,mode 0: 30; mode 1: 12,mode 0: 1x3; mode 1: 1x3,Full enumerated mode-specific bank; human can force a win,same exact policy as HARD,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,111/111 optimal on common decision opportunities; 128 total positions,HARD/MASTER CPU deliberately identical: 128/128 board and RNG decisions match; starts differ,YES,PASS,None
23,EUCLID,EASY,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 1x2; mode 1: 1x2,values 1..12,random legal move,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,22/89 optimal on common decision opportunities; 128 total positions,Random branch may choose an optimal move; 75% branch rate is not 75% success rate,YES,PASS,None
23,EUCLID,NORMAL,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 1x2; mode 1: 1x2,values 1..40,75% exact-policy branch; 25% random,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,69/89 optimal on common decision opportunities; 128 total positions,Random branch may choose an optimal move; 75% branch rate is not 75% success rate,YES,PASS,None
23,EUCLID,HARD,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 1x2; mode 1: 1x2,values 1..99,exact outcome-optimal policy,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,89/89 optimal on common decision opportunities; 128 total positions,HARD/MASTER CPU deliberately identical: 128/128 board and RNG decisions match; starts differ,YES,PASS,None
23,EUCLID,MASTER,Verified forced-win tactical starts; CPU identical to HARD,mode 0: 30; mode 1: 30,mode 0: 1x2; mode 1: 1x2,Full enumerated mode-specific bank; human can force a win,same exact policy as HARD,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,89/89 optimal on common decision opportunities; 128 total positions,HARD/MASTER CPU deliberately identical: 128/128 board and RNG decisions match; starts differ,YES,PASS,None
24,MAKE FIFTEEN,EASY,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 3x3; mode 1: 3x3,empty 9-card opening,random legal move,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,31/67 optimal on common decision opportunities; 128 total positions,Random branch may choose an optimal move; 75% branch rate is not 75% success rate,YES,PASS,None
24,MAKE FIFTEEN,NORMAL,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 3x3; mode 1: 3x3,empty 9-card opening,75% exact-policy branch; 25% random,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,53/67 optimal on common decision opportunities; 128 total positions,Random branch may choose an optimal move; 75% branch rate is not 75% success rate,YES,PASS,None
24,MAKE FIFTEEN,HARD,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 3x3; mode 1: 3x3,empty 9-card opening,exact outcome-optimal policy,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,67/67 optimal on common decision opportunities; 128 total positions,HARD/MASTER CPU deliberately identical: 128/128 board and RNG decisions match; starts differ,YES,PASS,None
24,MAKE FIFTEEN,MASTER,Verified forced-win tactical starts; CPU identical to HARD,mode 0: 30; mode 1: 5,mode 0: 3x3; mode 1: 3x3,Full enumerated mode-specific bank; human can force a win,same exact policy as HARD,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,67/67 optimal on common decision opportunities; 128 total positions,HARD/MASTER CPU deliberately identical: 128/128 board and RNG decisions match; starts differ,YES,PASS,None
25,RACE TO TARGET,EASY,CPU policy and initial position,mode 0: 0; mode 1: 0,mode 0: 1x1; mode 1: 1x1,target 21/add 1..3,random legal move,Optimal decisions only where legal choices differ in outcome; pre-existing independent exact-table audit,27/102 optimal on common decision opportunities; 128 total positions,Random branch may choose an optimal move; 75% branch rate is not 75% success rate,YES,PASS,None
